Digitizer,ID,Sex,Species,Island,Species#,friends,Ecomorph,SVLruler,Taillength,Footlamellae,Handlamellae,SVL1,SVL2,Humerus,Ulna,Forelimb,Femur,Tibia,Hindlimb,Pectoral,Pelvic,MBlength,Headlength,HeadDepth,Jawlength,EyeDiam,logSVL,logtail,logfootlamellae,loghandlamellae,logforelimb,loghindlimb,logpectoral,logpelvic,logheadlength,logheaddepth,logjawlength,logeyediamter
Lela,etheridgei-F-183227,F,etheridgei,Hispaniola,41,7,UN,39,95,29,14,35.2068178,57.8484902,8.25836503,5.71977536,13.9781404,12.7675494,10.9780628,23.7456122,7.49964516,,16.3473364,15.4215094,4.4839996,13.0064479,4.01563438,1.59106461,1.97772361,1.462398,1.14612804,1.1454494,1.37558337,0.87504072,,1.18812688,0.65166557,1.1141587,0.60375416
Lela,etheridgei-F-POE0448,F,etheridgei,Hispaniola,41,7,UN,41,101,32,16,38.6225826,59.5449215,11.0489689,6.19061799,17.2395868,12.2057148,10.637004,22.8427189,4.99910981,,16.9222,16.6512372,7.29654322,14.1194282,3.47174676,1.61278386,2.00432137,1.50514998,1.20411998,1.23652685,1.3587478,0.69889268,,1.22144651,0.86311716,1.14981711,0.54054804
Lela,etheridgei-M-126143,M,etheridgei,Hispaniola,41,7,UN,38,96,27,15,35.607163,59.00414,10.4226196,4.55074095,14.9733605,15.834998,7.98779666,23.8227946,5.60934542,5.6401019,14.3697437,13.2492495,,11.3963183,4.11157406,1.5797836,1.98227123,1.43136376,1.17609126,1.17531928,1.37699271,0.74891218,0.75128695,1.12219128,,1.05676457,0.61400812
Lela,etheridgei-M-128274,M,etheridgei,Hispaniola,41,7,UN,36,86,29,15,35.1636647,59.8210097,9.54643145,4.80829868,14.3547301,14.7501846,9.89581287,24.6459975,4.91288927,3.79851556,13.3873638,10.6038675,2.98278118,7.50951079,3.63052088,1.5563025,1.93449845,1.462398,1.17609126,1.15699503,1.3917464,0.69133698,0.57961391,1.02546429,0.47462139,0.87561165,0.55996894
Lela,etheridgei-M-128277,M,etheridgei,Hispaniola,41,7,UN,38,90,27,16,38.7274257,58.4156048,9.45596909,5.08743663,14.5434057,16.4589174,11.2186473,27.6775647,5.07527428,4.55937332,13.2608709,12.8851499,3.46465189,9.34912594,3.73966312,1.5797836,1.95424251,1.43136376,1.20411998,1.16266612,1.44212787,0.70545952,0.65890515,1.11008947,0.53965961,0.97077101,0.57283248
Lela,etheridgei-M-128278,M,etheridgei,Hispaniola,41,7,UN,38,88,27,14,36.1377598,58.7540354,7.80600255,5.28213177,13.0881343,14.6377596,10.7592385,25.396998,7.2667412,4.52015483,14.0499149,13.6535389,5.94498292,10.7047299,3.7059084,1.5797836,1.94448267,1.43136376,1.14612804,1.11687774,1.40478239,0.86133969,0.65515331,1.13524523,0.77415061,1.02957571,0.56889468
Lela,etheridgei-M-128282,M,etheridgei,Hispaniola,41,7,UN,40,94,29,17,38.4743794,59.2799829,10.3430934,5.74269511,16.0857885,15.9861369,10.0811775,26.0673144,5.93749485,4.22989285,14.4553707,15.1898116,4.82344034,11.7692518,3.95985724,1.60205999,1.97312785,1.462398,1.23044892,1.20644235,1.41609629,0.77360325,0.62632937,1.18155239,0.68335691,1.07074885,0.59767953
Debbie,evermanni-F-R148508,F,evermanni,Puerto Rico,10,8,TC,48,93,41,23,55.8056217,56.2527566,8.79463122,7.78406974,16.578701,10.7209703,10.103153,20.8241234,8.59684476,7.49281107,23.5992632,14.9061956,7.23381431,12.3301981,4.68891717,1.68124124,1.96848295,1.61278386,1.36172784,1.2195505,1.31856673,0.93433908,0.87464478,1.17336682,0.85936736,1.09097006,0.67107256
Debbie,evermanni-F-R148510,F,evermanni,Puerto Rico,10,8,TC,47,87,42,24,55.9959222,56.8123923,9.13494128,7.71427783,16.8492191,11.7587135,10.5024581,22.2611716,9.15488553,6.41062748,22.3942376,15.1439236,6.98407213,12.797971,4.81960928,1.67209786,1.93951925,1.62324929,1.38021124,1.22657978,1.34754802,0.96165292,0.80690054,1.18023841,0.84410872,1.10714112,0.68301183
Debbie,evermanni-F-R148516,F,evermanni,Puerto Rico,10,8,TC,48,85.5,44,24,57.0447568,57.7639125,8.64001149,7.27753526,15.9175467,11.2494785,10.9026276,22.1521061,9.47836892,6.72955043,22.9361523,15.3802489,7.11950476,13.5196636,4.02002009,1.68124124,1.93196611,1.64345268,1.38021124,1.20187613,1.34541502,0.97673361,0.82798605,1.18696336,0.85244978,1.13096588,0.60422822
Debbie,evermanni-F-R148517,F,evermanni,Puerto Rico,10,8,TC,48,83,42,24,57.1924714,57.9207429,8.95336383,7.78594553,16.7393094,11.5547096,11.0626515,22.6173611,9.32263619,8.08218927,24.3221827,16.0250731,8.10633553,14.0362392,4.56937144,1.68124124,1.91907809,1.62324929,1.38021124,1.22373754,1.35444193,0.96953874,0.90752902,1.20480002,0.90882458,1.14725076,0.65985646
Debbie,evermanni-F-R148525,F,evermanni,Puerto Rico,10,8,TC,46.5,89,42,24,54.6320236,55.3099759,8.97595628,7.66875583,16.6447121,10.8779976,10.8517944,21.729792,7.97364843,6.77067358,23.0232124,15.1737178,7.76535249,12.7311537,4.01073607,1.66745295,1.94939001,1.62324929,1.38021124,1.22127629,1.33705557,0.90165708,0.83063188,1.181092,0.89016117,1.10486776,0.60322408
Debbie,evermanni-M-R148485,M,evermanni,Puerto Rico,10,8,TC,51.5,100,43,27,59.623013,60.4870077,9.8014851,7.93792423,17.7394093,14.8827591,12.3119211,27.1946802,9.85361283,6.51358789,23.2609922,16.6565705,8.16667544,14.2992302,4.69336248,1.71180723,2,1.63346846,1.43136376,1.24893916,1.43448396,0.99359549,0.81382028,1.22158559,0.9120453,1.15531266,0.6714841
Debbie,evermanni-M-R148486,M,evermanni,Puerto Rico,10,8,TC,59,104,43,27,67.8074233,68.4591492,10.2442319,9.30322483,19.5474568,14.6821263,14.2567517,28.938878,11.3930962,9.15001096,27.6345574,17.6868835,7.71715586,14.9416723,5.18577008,1.77085201,2.01703334,1.63346846,1.43136376,1.29109026,1.46148169,1.05664176,0.96142161,1.24765132,0.88745727,1.17439921,0.71481326
Debbie,evermanni-M-R148487,M,evermanni,Puerto Rico,10,8,TC,61,112.5,39,26,69.9199168,70.2922445,11.9967773,9.54426887,21.5410462,14.7949338,13.6971562,28.49209,12.7650357,8.96175642,29.2695629,17.8108926,7.67615057,16.1161105,5.43103564,1.78532984,2.05115252,1.59106461,1.41497335,1.33326679,1.45472431,1.10602204,0.95239314,1.25068568,0.88514348,1.20726024,0.73488265
