"","Frequency","Position","SPS","Power","SwimEcon"
"1",0.5,"ctrl",0.181250694830461,0.00377123401889939,48.0613756457782
"2",1,"ctrl",0.223511593900146,0.0140869396281596,15.8665827922872
"3",1.5,"ctrl",0.264946070878274,0.0365442388289676,7.25000928650506
"4",2,"ctrl",0.367468606971013,0.0843253070146026,4.35775000389122
"5",2.5,"ctrl",0.552728892365185,0.184623644399749,2.99381422223694
"6",0.5,"near",0.156732230666071,0.00423342422887796,37.0225666487508
"7",1,"near",0.231933233682113,0.0134353536621824,17.262904982915
"8",1.5,"near",0.30693155960091,0.0349101449326098,8.79204483949888
"9",2,"near",0.42417258018734,0.081092000567698,5.23075737702671
"10",2.5,"near",0.591928251121076,0.169930839205637,3.4833480131571
"11",0.5,"far",0.158887070376432,0.00425684935181046,37.3250395410062
"12",1,"far",0.231527313266444,0.014725894369706,15.7224619064727
"13",1.5,"far",0.316424236586071,0.0383899135305444,8.24237950768794
"14",2,"far",0.448352244964439,0.0900226299825636,4.98043930788603
"15",2.5,"far",0.639827316799551,0.189745120115311,3.37203568877408
