NEW,TX,Freeze,Bud,07/04/2017,10/04/2017,11/04/2017,13/04/2017,17/04/2017,24/04/2017,28/04/2017,01/05/2017,03/05/2017,06/05/2017,10/05/2017,13/05/2017,15/05/2017,19/05/2017,23/05/2017,25/05/2017,30/05/2017,01/06/2017,05/06/2017,08/06/2017,12/06/2017,15/06/2017,20/06/2017,25/06/2017,03/07/2017,07/07/2017,11/07/2017,14/07/2017,17/07/2017,26/07/2017,28/07/2017,01/08/2017,07/08/2017,14/08/2017
SAMRAC_G09,A,,Blue,9,9,,9,10,10,10,11,11,12,13,15,15,15,15,15,15,DONE!,,,DONE!,,,,,,,,,,,,,
SAMRAC_G09,A,,Red,9,9,,10,10,10,11,11,12,12,12,14,14,14,14,14,14,,,,,,,,,,,,,,,,,
SAMRAC_G09,A,,Green,10,10,,11,11,11,12,12,13,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
SAMRAC_G09,A,,Black,,9,,9,9,9,11,11,11,11,11,11,12,12,12,12,13,,,,,,,,,,,,,,,,,
SAMRAC_G09,A,,Yellow,,9,,9,9,9,11,11,13,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,
SAMRAC_G09,A,,White,,,,,,,9,9,11,11,11,11,11,11,11,11,12,,,,,,,,,,,,,,,,,
SAMRAC_G09,A,,Blue,,,,,,,10,10,11,11,12,12,12,12,12,12,15,,,,,,,,,,,,,,,,,
SAMRAC_G10,B,28/04/2017,Blue,9,9,,10,10,10,11,11,11,11,13,13,14,15,DONE!,DONE!,15,15,15,15,DONE!,,,,,,,,,,,,,
SAMRAC_G10,B,06/05/2017,Red,,,,,,9,12,13,14,15,15,15,15,15,,,15,15,15,15,,,,,,,,,,,,,,
SAMRAC_G10,B,,Green,,,,,11,13,14,15,15,15,15,15,15,15,,,,15,15,15,,,,,,,,,,,,,,
SAMRAC_G10,B,,Black,,,,9,11,11,12,13,14,15,15,15,15,15,,,,15,15,15,,,,,,,,,,,,,,
SAMRAC_G10,B,,Yellow,,,,,,,,9,9,10,10,10,9,9,,,9,9,9,9,,,,,,,,,,,,,,
SAMRAC_G10,B,,White,9,10,,10,10,10,11,11,11,12,13,13,13,13,,,14,14,14,14,,,,,,,,,,,,,,
SAMRAC_G10,B,,Blue,9,10,,10,10,10,11,11,11,11,12,12,14,14,,,14,14,15,15,,,,,,,,,,,,,,
SAMRAC_G11,B,10/04/2017,Blue,9,10,11,11,15,15,DONE!,DONE!,DONE!,DONE!,DONE!,,,DONE!,DONE!,DONE!,DONE!,DONE!,,,DONE!,,,,,,,,,,,,,
SAMRAC_G11,B,,Red,,,,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G11,B,,Green,10,12,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G11,B,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G11,B,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMRAC_G11,B,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
